                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 1.4377,                 1.0936,                 1.1564,                 0.5194,                0.40184,                0.41672,                0.24839,                 1.3725,                 1.0459,                 1.1325,               0.005809,               0.005809,               0.005809
                    130,                 1.4379,                 1.0926,                 1.1531,                0.51773,                0.40348,                0.41678,                0.24825,                 1.3723,                 1.0455,                 1.1325,               0.005776,               0.005776,               0.005776
                    131,                 1.4243,                 1.0851,                 1.1524,                 0.5234,                0.40138,                0.41733,                0.24858,                 1.3716,                 1.0448,                 1.1322,               0.005743,               0.005743,               0.005743
                    132,                 1.4301,                 1.0864,                 1.1564,                 0.5204,                 0.4032,                0.41693,                0.24859,                 1.3712,                 1.0443,                 1.1322,                0.00571,                0.00571,                0.00571
                    133,                 1.4318,                 1.0875,                 1.1554,                0.52045,                0.40335,                 0.4172,                 0.2485,                 1.3709,                 1.0437,                 1.1321,               0.005677,               0.005677,               0.005677
                    134,                 1.4339,                 1.0849,                 1.1506,                0.52238,                0.40332,                0.41786,                0.24898,                 1.3708,                 1.0429,                 1.1321,               0.005644,               0.005644,               0.005644
                    135,                 1.4305,                 1.0825,                 1.1469,                0.52137,                0.40348,                0.41807,                0.24919,                 1.3705,                 1.0422,                 1.1319,               0.005611,               0.005611,               0.005611
                    136,                  1.426,                 1.0817,                 1.1509,                0.52386,                0.40269,                0.41828,                0.24926,                 1.3704,                 1.0419,                 1.1319,               0.005578,               0.005578,               0.005578
                    137,                 1.4389,                 1.0872,                 1.1529,                0.52417,                0.40256,                 0.4188,                0.24937,                 1.3701,                 1.0417,                 1.1317,               0.005545,               0.005545,               0.005545
                    138,                 1.4319,                 1.0819,                 1.1529,                0.52306,                0.40316,                0.41894,                0.24934,                 1.3696,                 1.0414,                 1.1315,               0.005512,               0.005512,               0.005512
                    139,                 1.4261,                  1.079,                 1.1521,                0.52421,                0.40256,                  0.419,                0.24946,                 1.3694,                 1.0411,                 1.1312,               0.005479,               0.005479,               0.005479
                    140,                  1.433,                 1.0816,                  1.149,                 0.5265,                0.40265,                0.41924,                0.24951,                  1.369,                 1.0411,                 1.1311,               0.005446,               0.005446,               0.005446
                    141,                 1.4324,                 1.0745,                 1.1517,                0.52823,                0.40212,                0.41933,                0.24957,                 1.3686,                 1.0406,                 1.1308,               0.005413,               0.005413,               0.005413
                    142,                 1.4241,                 1.0778,                 1.1521,                0.52778,                0.40152,                0.41937,                0.24974,                 1.3684,                 1.0402,                 1.1306,                0.00538,                0.00538,                0.00538
                    143,                 1.4272,                 1.0752,                 1.1531,                0.52978,                0.39983,                0.41958,                0.25005,                 1.3681,                 1.0397,                 1.1305,               0.005347,               0.005347,               0.005347
                    144,                 1.4318,                 1.0813,                 1.1514,                0.53169,                0.39968,                 0.4197,                0.25015,                 1.3678,                 1.0393,                 1.1303,               0.005314,               0.005314,               0.005314
                    145,                 1.4252,                 1.0729,                 1.1475,                0.53053,                 0.4005,                 0.4201,                0.25033,                 1.3677,                 1.0389,                 1.1303,               0.005281,               0.005281,               0.005281
                    146,                 1.4284,                 1.0719,                 1.1469,                0.53126,                 0.4008,                0.42032,                0.25039,                 1.3675,                 1.0386,                 1.1302,               0.005248,               0.005248,               0.005248
                    147,                 1.4221,                 1.0714,                 1.1466,                0.53083,                0.40015,                0.42067,                 0.2503,                 1.3672,                 1.0384,                   1.13,               0.005215,               0.005215,               0.005215
                    148,                 1.4208,                  1.069,                 1.1491,                0.52984,                 0.4011,                0.42077,                0.25047,                  1.367,                 1.0381,                 1.1299,               0.005182,               0.005182,               0.005182
